Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped
550000,50,Yes,No, 0.35% + 2p,Clothing Stores,2392.5,Other
340000,12,Yes,No, 0.39% + 3p,Miscellaneous Stores,2404.48,Other
10000,10,No,No, 0.8% + 2p,Miscellaneous Stores,103.60000000000001,Other
50000,157,Yes,Yes, 1.69% + 0p,Retail Outlet Services,844.9999999999999,Other
150000,35,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,910.8857142857141,Other
150000,2500,No,Yes, 0.4% + 3p,Clothing Stores,724.8,Other
20000,25,No,Yes, 0.8% + 2p,Miscellaneous Stores,183.20000000000002,Other
25000,5,No,No, 0.8% + 2p,Miscellaneous Stores,309.0,Other
20000,20,No,Yes, 1% + 0p,Transportation Services,200.0,Other
100457,384,Yes,Yes, 1.5% + 0p,Miscellaneous Stores,1506.855,Other
25000,1000,Yes,No, 1.5% + 0p,Contracted Services,375.0,Other
120000,111,Yes,Yes, 0.4% + 3p,Retail Outlet Services,610.8324324324324,Other
10000,250,No,No, 0.8% + 2p,Business Services,84.4,Other
250000,500,No,No, 0.99% + 0p,Miscellaneous Stores,2524.9999999999995,Other
60000,12,Yes,No, 0.39% + 3p,Miscellaneous Stores,424.32000000000005,Other
1000000,5,No,Yes, 0.41% + 2.5p,Business Services,14490.0,Other
60000,20,No,Yes, 0.6% + 2p,Retail Outlet Services,443.40000000000003,Other
550000,20,Yes,No, 0.35% + 2p,Miscellaneous Stores,2722.5,Other
500000,150,Yes,Yes, 0.4% + 2p,Business Services,2291.6666666666665,Other
30000,20,Yes,Yes, 1% + 0p,Miscellaneous Stores,300.0,Other
100000,20,No,No, 0.4% + 2.5p,Miscellaneous Stores,714.4,Other
2000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,33.8,Other
100000,25,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,577.2,Other
5000,250,No,No, 0.8% + 2p,Contracted Services,42.2,Other
300000,15,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,1900.0000000000005,Other
20000,15,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,193.86666666666667,Other
100000,20,No,Yes, 1.5% + 0p,Transportation Services,1500.0,Other
450000,19,Yes,No, 0.4% + 2p,Miscellaneous Stores,2476.184210526316,Other
20000,20,Yes,No, 1.5% + 0p,Miscellaneous Stores,300.0,Other
50000,100,No,No, 0.49% + 2.5p,Clothing Stores,303.5,Other
10000,90,No,No, 1.69% + 0p,Agricultural Services,168.99999999999997,Other
150000,15,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,1196.6,Other
2000000,6000,Yes,No, 0.27% + 2p,Miscellaneous Stores,6126.666666666667,Other
200000,10000,No,No, 0.4% + 2.5p,Retail Outlet Services,929.8,Other
115000,70,No,Yes, 0.4% + 2.5p,Clothing Stores,616.202857142857,Other
1000,10,Yes,No, 1.75% + 0p,Miscellaneous Stores,17.500000000000004,Other
16000,70,Yes,Yes, 0.5% + 3p,Miscellaneous Stores,101.25714285714288,Other
260000,3,No,Yes, 0.99% + 0p,Retail Outlet Services,2626.0,Other
1500,30,No,No, 1.75% + 0p,Miscellaneous Stores,26.250000000000007,Other
400000,25,Yes,No, 0.43% + 2.5p,Miscellaneous Stores,2693.6,Other
120000,20,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,857.28,Other
1100000,10,Yes,Yes, 0.41% + 2.5p,Retail Outlet Services,10439.0,Other
125000,523,Yes,Yes, 0.8% + 2p,Professional Services and Membership Organizations,1049.7801147227533,Other
416000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2733.952,Other
300000,200,No,Yes, 0.43% + 2.5p,Contracted Services,1495.1999999999998,Other
100000,25,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,525.0,Other
250000,80,Yes,No, 0.39% + 3p,Miscellaneous Stores,1236.75,Other
5000,50,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,43.800000000000004,Other
20000,60,No,No, 1.75% + 0p,Clothing Stores,350.00000000000006,Other
80000,27,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,454.6488888888889,Other
80000,30,Yes,No, 1.5% + 0p,Miscellaneous Stores,1200.0,Other
100000,5,Yes,No, 0.99% + 0p,Business Services,1009.9999999999999,Other
100000,8,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1089.4,Other
5000,10,No,No, 1.75% + 0p,Retail Outlet Services,87.50000000000001,Other
20000,15,No,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
60000,2000,Yes,Yes, 0.42% + 3p,Retail Outlet Services,291.17999999999995,Other
80000,200,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,399.03999999999996,Other
80000,25,Yes,No, 0.6% + 2p,Miscellaneous Stores,580.8,Other
1000,20,No,No, 1.69% + 0p,Business Services,16.9,Other
10000,1000,Yes,No, 1.5% + 0p,Miscellaneous Stores,150.0,Other
50000,15,Yes,Yes, 0.6% + 2p,Miscellaneous Stores,386.16666666666674,Other
450000,15,Yes,Yes, 0.4% + 2p,Retail Outlet Services,2602.5,Other
40000,70,No,No, 1.75% + 0p,Miscellaneous Stores,700.0000000000001,Other
1000,10,No,No, 0.8% + 2p,Business Services,10.36,Other
50000,30,Yes,Yes, 0.49% + 2.5p,Clothing Stores,361.83333333333337,Other
50000,10,Yes,No, 0.65% + 2p,Miscellaneous Stores,448.5,Other
50000,20,Yes,No, 0.65% + 2p,Business Services,398.5,Other
200000,20,Yes,No, 0.39% + 3p,Retail Outlet Services,1214.4,Other
50000,1000,Yes,Yes, 0.5% + 3p,Contracted Services,296.5,Other
700000,8,Yes,Yes, 0.35% + 2p,Miscellaneous Stores,4515.0,Other
150000,300,Yes,Yes, 0.42% + 3p,Transportation Services,740.7,Other
20000,1000,No,Yes, 1.69% + 0p,Transportation Services,337.99999999999994,Other
30000,5,No,Yes, 0.8% + 2p,Professional Services and Membership Organizations,370.80000000000007,Other
88000,15,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,783.4933333333333,Other
15000,10,Yes,Yes, 0.75% + 2p,Business Services,149.39999999999998,Other
120000,10,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,1157.28,Other
1000,75,No,No, 1.69% + 0p,Professional Services and Membership Organizations,16.9,Other
200000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1428.8,Other
75000,5,Yes,Yes, 0.42% + 3p,Retail Outlet Services,812.85,Other
1200000,10,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,6336.0,Other
250000,20,No,Yes, 0.43% + 2.5p,Miscellaneous Stores,1808.5,Other
400000,60,Yes,Yes, 0.43% + 2.5p,Clothing Stores,2226.9333333333334,Other
500000,20,No,Yes, 0.4% + 2p,Miscellaneous Stores,2725.0,Other
50000,70,Yes,No, 1.69% + 0p,Miscellaneous Stores,844.9999999999999,Other
10000,5,No,No, 1.5% + 0p,Contracted Services,150.0,Other
7000,25,No,No, 1.69% + 0p,Miscellaneous Stores,118.29999999999998,Other
5000,10,No,No, 0.8% + 2p,Business Services,51.800000000000004,Other
1500,50,No,No, 1.75% + 0p,Retail Outlet Services,26.250000000000007,Other
10000,60,No,No, 0.8% + 2p,Business Services,86.93333333333334,Other
20000,40,No,No, 1.5% + 0p,Professional Services and Membership Organizations,300.0,Other
20000,200,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
7000,10,No,No, 1.5% + 0p,Miscellaneous Stores,105.0,Other
15,10,No,No, 1.69% + 0p,Miscellaneous Stores,0.25349999999999995,Other
40000,45,No,No, 0.49% + 2.5p,Miscellaneous Stores,267.24444444444447,Other
500000,250,No,Yes, 0.4% + 2p,Business Services,2265.0,Other
6000,5,No,No, 1.69% + 0p,Professional Services and Membership Organizations,101.39999999999999,Other
600000,6,Yes,Yes, 0.35% + 2p,Miscellaneous Stores,4370.0,Other
1000,60,Yes,No, 1.5% + 0p,Business Services,14.999999999999998,Other
190000,10,No,No, 0.4% + 2.5p,Retail Outlet Services,1832.3600000000001,Other
900000,30,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3552.0000000000005,Other
150000,20,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1071.6,Other
170000,9,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,1798.9777777777779,Other
570000,50,No,Yes, 0.4% + 3p,Miscellaneous Stores,2918.4000000000005,Other
75000,60,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,651.9999999999999,Other
15000,1000,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,253.49999999999997,Other
10000,20,No,No, 1.69% + 0p,Professional Services and Membership Organizations,168.99999999999997,Other
50000,7,Yes,Yes, 1% + 0p,Retail Outlet Services,500.0,Other
150000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,910.8000000000001,Other
48000,130,Yes,Yes, 1.39% + 3p,Business Services,684.036923076923,Other
3000,25,No,No, 0.8% + 2p,Professional Services and Membership Organizations,27.480000000000004,Other
108000,20,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,771.552,Other
20000,60,No,Yes, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
2100000,10,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,10626.0,Other
100000,8,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,832.2,Other
150000,20,No,Yes, 0.5% + 2p,Clothing Stores,963.0000000000001,Other
150000,7,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1768.0285714285712,Other
30000,1000,Yes,No, 0.8% + 2p,Contracted Services,251.40000000000003,Other
10000,10,Yes,No, 1.5% + 0p,Miscellaneous Stores,150.0,Other
100000,150,Yes,Yes, 1.75% + 0p,Travel,1750.0000000000002,Other
1500000,40,No,Yes, 0.28% + 2p,Clothing Stores,5670.000000000001,Other
50000,5000,Yes,No, 0.8% + 2p,Business Services,418.20000000000005,Other
50000,1000,Yes,No, 1% + 0p,Professional Services and Membership Organizations,500.0,Other
3000,60,Yes,Yes, 1.69% + 0p,Clothing Stores,50.699999999999996,Other
5000,10,No,No, 0.8% + 2p,Professional Services and Membership Organizations,51.800000000000004,Other
80000,110,No,Yes, 0.5% + 3p,Miscellaneous Stores,493.8181818181818,Other
140000,10,Yes,No, 0.39% + 3p,Miscellaneous Stores,1060.08,Other
12000,5,Yes,Yes, 1% + 0p,Miscellaneous Stores,120.00000000000001,Other
200000,10,No,Yes, 0.4% + 2.5p,Professional Services and Membership Organizations,1928.8,Other
15000,30,Yes,Yes, 1.69% + 0p,Business Services,253.49999999999997,Other
100000,7,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1178.6857142857143,Other
200000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1314.4,Other
320000,50,No,Yes, 0.43% + 2.5p,Miscellaneous Stores,1834.88,Other
50000,25,Yes,Yes, 0.49% + 2.5p,Retail Outlet Services,378.5,Other
90000,900,Yes,Yes, 0.49% + 2.5p,Business Services,506.29999999999995,Other
200000,1500,Yes,Yes, 0.42% + 3p,Retail Outlet Services,971.5999999999998,Other
200000,175,Yes,No, 0.42% + 3p,Business Services,1001.8857142857141,Other
500000,30,Yes,Yes, 0.4% + 3p,Retail Outlet Services,2760.0,Other
20000,35,No,No, 0.8% + 2p,Clothing Stores,178.62857142857143,Other
750000,120,No,No, 0.42% + 2.5p,Retail Outlet Services,3765.5,Other
80000,600,Yes,Yes, 0.42% + 3p,Business Services,391.03999999999996,Other
150000,10,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1135.8000000000002,Other
600000,65,No,Yes, 0.4% + 3p,Retail Outlet Services,2988.923076923077,Other
340000,12,No,No, 1.75% + 0p,Miscellaneous Stores,5950.0,Other
500000,15,Yes,Yes, 0.39% + 3p,Business Services,3286.0,Other
1000000,1000,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3300.0,Other
25000,52,Yes,Yes, 0.8% + 2p,Professional Services and Membership Organizations,218.61538461538464,Other
15000,15,No,Yes, 1% + 0p,Miscellaneous Stores,150.0,Other
48000,10,Yes,No, 1.69% + 0p,Business Services,811.1999999999999,Other
3000,30,No,Yes, 1.69% + 0p,Contracted Services,50.699999999999996,Other
20000,15,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
70000,40,Yes,No, 0.49% + 2.5p,Professional Services and Membership Organizations,477.4,Other
500000,50,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2586.0,Other
5000,300,No,No, 1.75% + 0p,Business Services,87.50000000000001,Other
50000,20,Yes,Yes, 1.75% + 0p,Clothing Stores,875.0000000000001,Other
100000,100,Yes,Yes, 0.4% + 3p,Business Services,512.0,Other
25000,2500,No,Yes, 1.69% + 0p,Transportation Services,422.49999999999994,Other
5000,10,No,No, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other
5000,10,No,No, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other
200000,2,Yes,No, 0.45% + 2p,Retail Outlet Services,2992.0,Other
150000,15,Yes,No, 0.55% + 2p,Miscellaneous Stores,1088.0,Other
100000,100,Yes,Yes, 0.39% + 3p,Business Services,487.20000000000005,Other
35000,50,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,229.95,Other
40000,12,No,No, 0.7% + 2p,Miscellaneous Stores,365.06666666666666,Other
50000,15,Yes,Yes, 0.65% + 2p,Miscellaneous Stores,415.1666666666667,Other
120000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,857.28,Other
80000,250,Yes,No, 0.49% + 2.5p,Transportation Services,461.6,Other
28000,20,No,No, 1% + 0p,Retail Outlet Services,280.0,Other
180000,90,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,882.96,Other
200000,100,Yes,No, 0.4% + 2.5p,Business Services,1028.8,Other
3000000,10000,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,9186.0,Other
100000,1500,Yes,No, 0.6% + 2p,Contracted Services,647.3333333333334,Other
60000,200,Yes,No, 0.39% + 3p,Miscellaneous Stores,283.32000000000005,Other
130000,24,No,Yes, 0.5% + 2p,Miscellaneous Stores,812.9333333333334,Other
15000,30,No,No, 0.8% + 2p,Clothing Stores,135.40000000000003,Other
200000,15,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1595.4666666666667,Other
50000,3,Yes,Yes, 1.69% + 0p,Retail Outlet Services,844.9999999999999,Other
80000,10,Yes,No, 0.49% + 2.5p,Miscellaneous Stores,845.6,Other
800000,20,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3424.0,Other
700000,8,Yes,Yes, 0.35% + 2p,Retail Outlet Services,4515.0,Other
1000000,700,Yes,Yes, 0.28% + 2p,Business Services,3308.5714285714284,Other
10000,10,No,No, 1.5% + 0p,Miscellaneous Stores,150.0,Other
200000,20,No,No, 0.45% + 2p,Miscellaneous Stores,1192.0000000000002,Other
100000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,657.2,Other
25000,30,Yes,No, 1.5% + 0p,Retail Outlet Services,375.0,Other
85000,40,Yes,No, 0.6% + 2p,Agricultural Services,591.6,Other
250000,60,Yes,Yes, 0.42% + 3p,Business Services,1334.5,Other
1008,10,No,No, 1.69% + 0p,Clothing Stores,17.035199999999996,Other
80000,55,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,409.3963636363636,Other
995,15,No,No, 1.75% + 0p,Miscellaneous Stores,17.412500000000005,Other
1000,26,No,No, 1.69% + 0p,Business Services,16.9,Other
400000,1500,Yes,Yes, 0.42% + 3p,Retail Outlet Services,1943.1999999999996,Other
35000,140,Yes,Yes, 0.5% + 3p,Contracted Services,214.0,Other
1200,10,No,No, 1.69% + 0p,Professional Services and Membership Organizations,20.279999999999994,Other
40000,250,No,No, 0.49% + 2.5p,Miscellaneous Stores,230.8,Other
45000,2000,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,251.77499999999998,Other
60000,15,Yes,Yes, 0.65% + 2p,Retail Outlet Services,498.2,Other
10000,40,Yes,Yes, 1.5% + 0p,Professional Services and Membership Organizations,150.0,Other
500,90,No,Yes, 1.75% + 0p,Transportation Services,8.750000000000002,Other
100000,3000,Yes,No, 0.55% + 2p,Miscellaneous Stores,592.6666666666667,Other
15000,250,No,No, 1.5% + 0p,Professional Services and Membership Organizations,225.0,Other
50000,20,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,403.5,Other
200000,2000,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,933.8,Other
15000,150,No,No, 1.5% + 0p,Miscellaneous Stores,225.0,Other
40000,25,No,Yes, 0.5% + 3p,Miscellaneous Stores,284.0,Other
150000,560,Yes,Yes, 0.39% + 3p,Business Services,693.8357142857144,Other
70000,4,No,Yes, 0.65% + 2p,Miscellaneous Stores,837.9,Other
250000,30,Yes,No, 0.45% + 2p,Miscellaneous Stores,1396.666666666667,Other
30000,15,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,267.1,Other
100000,25,No,Yes, 1% + 0p,Miscellaneous Stores,1000.0,Other
180000,365,Yes,No, 0.4% + 2.5p,Business Services,860.5775342465754,Other
200000,2500,Yes,No, 0.39% + 3p,Miscellaneous Stores,916.8000000000001,Other
20000,15,Yes,No, 1.69% + 0p,Retail Outlet Services,337.99999999999994,Other
500000,20,Yes,Yes, 0.42% + 2.5p,Miscellaneous Stores,3552.0,Other
500000,50,Yes,No, 0.39% + 3p,Miscellaneous Stores,2586.0,Other
20000,10,No,Yes, 0.8% + 2p,Transportation Services,207.20000000000002,Other
2000,10,No,No, 0.85% + 2p,Professional Services and Membership Organizations,21.96,Other
90000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,546.48,Other
500000,20,Yes,Yes, 0.39% + 3p,Retail Outlet Services,3036.0,Other
190000,10,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1832.3600000000001,Other
25000,150,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,422.49999999999994,Other
130000,80,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,643.11,Other
15000,15,No,No, 1.75% + 0p,Miscellaneous Stores,262.5,Other
100000,1000,No,No, 0.4% + 2.5p,Business Services,469.4,Other
20000,150,Yes,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
50000,20,No,No, 0.49% + 2.5p,Miscellaneous Stores,403.5,Other
5000,50,No,No, 1.69% + 0p,Professional Services and Membership Organizations,84.49999999999999,Other
5000,30,No,No, 1.5% + 0p,Miscellaneous Stores,75.0,Other
80000,10,Yes,No, 0.55% + 2p,Miscellaneous Stores,633.6,Other
300000,50,Yes,Yes, 0.4% + 3p,Professional Services and Membership Organizations,1536.0,Other
20000,50,Yes,No, 1% + 0p,Miscellaneous Stores,200.0,Other
950000,3000,Yes,No, 0.4% + 3p,Retail Outlet Services,4303.5,Other
105000,10,Yes,Yes, 0.39% + 3p,Retail Outlet Services,795.06,Other
1000000,200,Yes,No, 0.28% + 2p,Miscellaneous Stores,3380.0,Other
480000,10,Yes,Yes, 0.4% + 2p,Retail Outlet Services,3096.0,Other
90000,300,No,No, 1.75% + 0p,Retail Outlet Services,1575.0,Other
25000,7,No,Yes, 0.8% + 2p,Miscellaneous Stores,280.42857142857144,Other
150000,70,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,750.0857142857144,Other
500000,4000,Yes,No, 0.4% + 2p,Contracted Services,2227.5,Other
500000,600,Yes,Yes, 0.4% + 2p,Retail Outlet Services,2241.6666666666665,Other
3000,150,Yes,Yes, 1.69% + 0p,Retail Outlet Services,50.699999999999996,Other
200000,20,Yes,No, 0.39% + 3p,Miscellaneous Stores,1214.4,Other
15000,5,No,Yes, 1.69% + 0p,Miscellaneous Stores,253.49999999999997,Other
100000,200,Yes,No, 1.75% + 0p,Business Services,1750.0000000000002,Other
500000,10,No,Yes, 0.4% + 2p,Miscellaneous Stores,3225.0,Other
2000,5,No,No, 1.75% + 0p,Transportation Services,35.00000000000001,Other
1400,6,No,Yes, 0.8% + 2p,Transportation Services,16.370666666666665,Other
800,5,No,No, 1.5% + 0p,Miscellaneous Stores,12.000000000000002,Other
200000,150,Yes,Yes, 0.99% + 0p,Miscellaneous Stores,2019.9999999999998,Other
1500,5,No,No, 1.69% + 0p,Miscellaneous Stores,25.349999999999998,Other
120000,9,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1223.9466666666667,Other
15000,5,No,Yes, 1.69% + 0p,Miscellaneous Stores,253.49999999999997,Other
220000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1571.68,Other
15000,300,Yes,Yes, 1.69% + 0p,Professional Services and Membership Organizations,253.49999999999997,Other
150000,560,Yes,Yes, 0.39% + 3p,Business Services,693.8357142857144,Other
200000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1428.8,Other
5000,10,No,No, 1.69% + 0p,Professional Services and Membership Organizations,84.49999999999999,Other
10000,4,No,No, 1.69% + 0p,Retail Outlet Services,168.99999999999997,Other
100000,1000,Yes,Yes, 0.55% + 2p,Transportation Services,594.0000000000001,Other
200000,10,Yes,Yes, 0.45% + 2p,Retail Outlet Services,1392.0000000000002,Other
200000,12,Yes,No, 0.45% + 2p,Miscellaneous Stores,1325.3333333333335,Other
1500,10,No,No, 1.69% + 0p,Miscellaneous Stores,25.349999999999998,Other
45000,10,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,475.65,Other
200000,10,Yes,No, 0.39% + 3p,Retail Outlet Services,1514.4,Other
50000,15,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,445.1666666666667,Other
100000,8,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,832.2,Other
150000,275,Yes,No, 0.4% + 2.5p,Professional Services and Membership Organizations,723.8727272727272,Other
400000,30,No,Yes, 0.4% + 3p,Miscellaneous Stores,2208.0,Other
20,20,No,Yes, 1.69% + 0p,Miscellaneous Stores,0.338,Other
200000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1428.8,Other
10000,40,No,No, 1.69% + 0p,Professional Services and Membership Organizations,168.99999999999997,Other
100000,6,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1297.7333333333336,Other
300000,10,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,1991.9999999999998,Other
4000,20,No,Yes, 1.5% + 0p,Retail Outlet Services,59.99999999999999,Other
120000,20,No,No, 1.5% + 0p,Business Services,1800.0,Other
20000,15,No,No, 1.5% + 0p,Miscellaneous Stores,300.0,Other
900,9,No,No, 1.75% + 0p,Clothing Stores,15.750000000000004,Other
120000,10,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,1157.28,Other
50000,845,No,Yes, 0.49% + 2.5p,Professional Services and Membership Organizations,281.4585798816568,Other
100000,180,Yes,Yes, 0.6% + 2p,Professional Services and Membership Organizations,657.1111111111111,Other
170000,20,No,Yes, 0.45% + 2p,Miscellaneous Stores,1013.2000000000002,Other
2000,100,Yes,No, 1.75% + 0p,Miscellaneous Stores,35.00000000000001,Other
2000,20,No,Yes, 1.75% + 0p,Miscellaneous Stores,35.00000000000001,Other
450000,30,No,No, 0.43% + 2.5p,Retail Outlet Services,2880.3,Other
800000,20,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,4816.0,Other
80000,20,No,Yes, 0.55% + 2p,Business Services,553.6,Other
1000,5,No,No, 0.8% + 2p,Professional Services and Membership Organizations,12.36,Other
300000,10,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1991.9999999999998,Other
30000,25,Yes,No, 0.5% + 3p,Miscellaneous Stores,213.0,Other
40000,100,Yes,No, 0.8% + 2p,Miscellaneous Stores,342.40000000000003,Other
500000,1000,Yes,No, 0.42% + 2.5p,Retail Outlet Services,2327.0,Other
5000,10,No,No, 1.69% + 0p,Business Services,84.49999999999999,Other
12000,20,No,Yes, 1.5% + 0p,Miscellaneous Stores,179.99999999999997,Other
280000,15,Yes,Yes, 0.45% + 2p,Retail Outlet Services,1750.9333333333334,Other
5000,25,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,Other
700000,15,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,4358.2,Other
100000,10,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,964.4,Other
110000,50,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,568.9200000000001,Other
2000,25,No,No, 1.69% + 0p,Miscellaneous Stores,33.8,Other
800000,2,No,Yes, 0.99% + 0p,Professional Services and Membership Organizations,8079.999999999999,Other
150000,50,Yes,No, 0.4% + 3p,Miscellaneous Stores,813.0,Other
25000,60,No,Yes, 1% + 0p,Miscellaneous Stores,250.0,Other
20000,65,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
160000,10,No,Yes, 0.42% + 2p,Retail Outlet Services,1062.4,Other
450000,20,No,Yes, 0.4% + 2p,Miscellaneous Stores,2452.5,Other
500000,20,No,No, 0.55% + 2p,Miscellaneous Stores,3460.0000000000005,Other
1000,50,No,No, 1.5% + 0p,Business Services,14.999999999999998,Other
250000,200,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,1247.0,Other
360000,2000,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1673.9999999999998,Other
80000,23,Yes,No, 0.55% + 2p,Clothing Stores,543.1652173913044,Other
15000,50,No,Yes, 1.5% + 0p,Clothing Stores,225.0,Other
500,5,No,No, 1.69% + 0p,Retail Outlet Services,8.45,Other
250000,10,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1893.0,Other
46000,75,No,No, 0.8% + 2p,Miscellaneous Stores,396.8266666666666,Other
400000,250,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1876.8000000000002,Other
240000,6,Yes,Yes, 1.5% + 0p,Retail Outlet Services,3600.0,Other
100000,20,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,714.4,Other
150000,5,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,2196.6,Other
1200000,3500,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3942.8571428571427,Other
15000,34,No,Yes, 1.69% + 0p,Miscellaneous Stores,253.49999999999997,Other
15000,10,Yes,No, 1% + 0p,Miscellaneous Stores,150.0,Other
250000,20,No,No, 0.45% + 2p,Miscellaneous Stores,1480.0000000000002,Other
250000,50,No,Yes, 0.45% + 2p,Clothing Stores,1330.0000000000002,Other
100,15,Yes,No, 1.5% + 0p,Miscellaneous Stores,1.5000000000000002,Other
100,100,Yes,No, 1% + 0p,Miscellaneous Stores,1.0,Other
